,Date,User,Tweet
0,2022-10-05 13:24:43+00:00,KyleOchi6,"Ruto was desperately hoping that Baba would somehow oppose his reintroduction of GMO so he can blame Raila for the continued hunger in NFD. Baba's silence is killing him. Anyway, Ole Sapit, Koome &amp; Lenaola should tell us their stand on the the GMO issue."
1,2022-10-05 13:24:03+00:00,john_onsaki12,"@citizentvkenya This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
2,2022-10-05 13:23:42+00:00,john_onsaki12,"@citizentvkenya @serfine_achieng @AyubAbdikadir This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
3,2022-10-05 13:23:41+00:00,lilmatich,We don't really care! We just want GMO food to be labelled as GMO. https://t.co/C1oS3X8no8
4,2022-10-05 13:23:32+00:00,Abdul_Kitambazi,"@ItsKamala GMO tunayoitumia kwa sasa ni 

Matikiti
Nyanya 
Huwezi kupata mbegu za asili za Matikiti na nyanya... Kwa sasa ili ulime nyanya na Tikiti ni lazima mbegu ufate kwao"
5,2022-10-05 13:22:33+00:00,john_onsaki12,"@NationBreaking This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
6,2022-10-05 13:19:44+00:00,ESIR_MCF,Vera Sidika with no GMO induced materials...😝🤪 https://t.co/3rYzDvr6Ji
7,2022-10-05 13:19:28+00:00,john_onsaki12,"@TonyMurega This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
8,2022-10-05 13:18:59+00:00,john_onsaki12,"@NationAfrica This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
9,2022-10-05 13:18:46+00:00,john_onsaki12,"@SokoAnalyst This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
10,2022-10-05 13:18:31+00:00,john_onsaki12,"@DonaldBKipkorir This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
11,2022-10-05 13:18:13+00:00,john_onsaki12,"@citizentvkenya @TrevorOmbija This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
12,2022-10-05 13:17:27+00:00,AsaBosire,GMO's and Vera Sidika trending at the same time is bad for GMO's. How do we convince people they are good? @juma_ivan
13,2022-10-05 13:16:18+00:00,Meshack68726932,@StandardKenya Hata vera sidika amakata gmo
14,2022-10-05 13:15:53+00:00,MwanzoTv,"Usilolijua kuhusu mazao ya GMO

Tazama: 
https://t.co/Lz9MS2dga2"
15,2022-10-05 13:15:29+00:00,Teddykimany,"@mk_kamande @NgechuTonie @LarryMadowo Good so why do you support GMO again? 
Give reasons"
16,2022-10-05 13:14:53+00:00,freedom_muigai,"@Mwendenine @miss_mumbz GMO must never have been allowed, its a plan that was construed by the elite to control food production rather than solve food security. Why should seeds be patented? They are like air, free from God, mean others can have different (natural) way of producing food on their own"
17,2022-10-05 13:11:37+00:00,_ACBIO,"ACB and African CSOs condemn Kenyan govt's decision to lift the GMO ban. The African continent is being dumped with GMOs that have failed elsewhere. 
Support the Kenyans' refusal to accept GMOs here: https://t.co/tw2TZ0ZJvz 
#BanGMOsInKenya @sbrnnafisa @BIBA_Kenya @PeasantsLeague"
18,2022-10-05 13:11:19+00:00,OumaOumarichie,"@NahashonKimemia We will finish the journey with the husler nation whether is GMO, aflatoxin, relief food..sini God"
19,2022-10-05 13:10:55+00:00,SRatemo,@scherargei Leta gmo tukule tukufe.
20,2022-10-05 13:08:41+00:00,john_onsaki12,"@citizentvkenya This thing about GMO,major concerns :-
1.The rush with which it has been done
2.The transition cabinet used to rubberstamp
3.The President’s change of tune, when DP
4.The avoidance of public participation 
5.Power of Executive in management of the 3arms of government ALL=numbers"
21,2022-10-05 13:08:18+00:00,the_Mday,I agree. All GMO should be homegrown and not imported from SA or EU. https://t.co/zIOP15oQoC
22,2022-10-05 13:06:11+00:00,Teddykimany,"@mk_kamande @NgechuTonie @LarryMadowo We or foreign non-African Monsanto...? When you say we do you mean Kenya Agricultural Research Institute? 
It makes all the difference who engineers the GMO seedlings"
23,2022-10-05 13:03:45+00:00,AmmonRotich,"@scherargei @KibetBenard_ All our maize seed is GMO 
Monsanto made sure of this"
24,2022-10-05 13:01:41+00:00,Dankos20Brown,We shall not starve because we shall have gone to heaven after afew experiments of crop failure And then those who ate the GMO foods start dying mysteriously. https://t.co/xr3TdDKSFX
25,2022-10-05 13:01:32+00:00,WambuaAbdi,@StandardKenya The rich should feed on the GMO because they can afford cancer treatment
26,2022-10-05 12:58:40+00:00,EdamboSammy,It is Unfortunately that GMO will make Vera Sidika fat again. No escape route. Oooh Murife!
27,2022-10-05 12:58:05+00:00,OduorOgwasa,"@scherargei You just don't care about the future health risks of this GMO thing, you are obsessed with your populist ideology. I doubt if RUTO is a God given leader as you claim, all his decisions are aimed at getting people worship him. He has the habits of Adolf Hitler, he is a TYRANT."
28,2022-10-05 12:56:03+00:00,KibetBenard_,GMO is not an option for kenyans .let's make rules and laws for safety. Counties can have government extension officers . Technology is not an option but priority to farmers in Kenya. Our president is a farmer. He knows the real challenges
29,2022-10-05 12:54:01+00:00,Teddykimany,@mk_kamande @LarryMadowo First stop comparing humans with cows ... second.... our non-GMO food is fine and healthy.... third who engineers and produce GMO seedlings KARI or American Monsanto? We cannot allow foreigners to decide what we eat and whether we eat at all
30,2022-10-05 12:51:17+00:00,mk_kamande,"@Teddykimany @LarryMadowo True, but no one can table evidence that GMOs are bad. The cows that you have in your shagz are not natural cows. No cow in nature has udders that are so heavy that the cow cannot even walk. It’s been gmo’d"
31,2022-10-05 12:50:58+00:00,MichaelKiema2,@WilliamsRuto Na mambo ya GMO wachana nayo
32,2022-10-05 12:50:27+00:00,zachoketch,@ntvkenya VeraSidika after Removing GMO
33,2022-10-05 12:48:26+00:00,PhillipMacloud,"@PurpleRain69824 Augh 😂
Why was he asking for GMO in Western buana😂"
34,2022-10-05 12:47:02+00:00,ResponderK,@scherargei Good. Now try and use your Nandi county to pilot the GMO products then tell us the results.
35,2022-10-05 12:45:16+00:00,NahashonKimaru,@NationAfrica GMO is not carcinogenic
36,2022-10-05 12:45:07+00:00,Teddykimany,@mk_kamande @LarryMadowo Why was it banned by kibaki even EU has banned those American GMO things why ?
37,2022-10-05 12:43:51+00:00,Joe_Wainaina,@StandardKenya Nani ataambia Chief Hustler hii mambo na GMO sio poa... https://t.co/Uv8Mqxazjw
38,2022-10-05 12:43:09+00:00,kmaisy,"@kerubo_hillary with puns ""comes in the midst of the GMO discussion! huh"
39,2022-10-05 12:43:03+00:00,BettyNMburu,Stop the Kenyan Government decision to lift the ban on GMO Foods - Sign the Petition! https://t.co/lSadCmIgVW via @ChangeOrgKE
40,2022-10-05 12:42:39+00:00,Dankos20Brown,"There was a company called Monsato,it was taken over By Bayer which is one of the most advanced in matters GMO. Now let's see who will be The arriving guest soon.. https://t.co/WiJxgZ4hyD"
41,2022-10-05 12:41:03+00:00,Joe_Wainaina,@JackKleins @NimuKiarie Nani ataambia Chief Hustler hii mambo na GMO si poa...🥴
42,2022-10-05 12:40:38+00:00,TheChiefBogo,"Rais Ruto's move to HURRIEDLY lift the ban on GMO is knee-jerk. Rais Ruto shouldve staggered the lift, by first launching a sensitisation and education programme to the public on GMOs. This way, public would understand and TRUST GMOs.

#MaoniKwaRaisRuto https://t.co/nGZQuzVirk"
43,2022-10-05 12:40:30+00:00,TheChiefBogo,"@StandardKenya Rais Ruto's move to HURRIEDLY lift the ban on GMO is knee-jerk. Rais Ruto shouldve staggered the lift, by first launching a sensitisation and education programme to the public on GMOs. This way, public would understand and TRUST GMOs.

#MaoniKwaRaisRuto"
44,2022-10-05 12:39:11+00:00,Teddykimany,@citizentvkenya President @KagutaMuseveni ambia Ruto @WilliamsRuto  East Africa hatutaki GMO #BanGMO
45,2022-10-05 12:39:06+00:00,OFABnigeria,"Historic Moment in Kenya as Government Lifts GMO Ban
https://t.co/Yai3owQyLD"
46,2022-10-05 12:38:00+00:00,cysixe,@gathurari_ Alfu anasapot GMO FOODS design ile tattoo yake ya mboga ina wilt 😯😯😯😯
47,2022-10-05 12:37:55+00:00,EK_kibett,@scherargei Who is going to ensure it is up to the right quality and standards. Incase a Kenyan farmer produces a high quantity but low quality and poor standard GMO maize I am tempted not to believe 50 bags of maize will be destroyed given the market prevailing conditions. We're not ready
48,2022-10-05 12:36:02+00:00,Mtu_Bossman,"Definitely Monsanto, soon wataanza the cross contamination laws to get small scale competitors out. However most GMO's have a slightly different taste and might struggle in Kenya https://t.co/8Efq7Ma0aS"
49,2022-10-05 12:34:10+00:00,WitcusOkhonga,"They  have now allowed GMO maize in, mukule mushikwe na cancer.  Since you can't afford india flight or KTRH chemotherapy sessions, mukufe muwatokee. https://t.co/rWgCw1z2xz"
50,2022-10-05 12:25:40+00:00,Teddykimany,@LarryMadowo Larry focus of GMO President Ruto Should reinstate #BanGMO
